filename,document_type,source_type,chunk_count,mean_net_sentiment,std_net_sentiment,pct_positive,pct_negative,pct_neutral
20231115_SCP_Resource_Finance_LP_SKE-CN_231115_scp_ske_dfs.pdf,equity_research,Uploaded,54,0.151,0.341,18.519,5.556,75.926
20240703_Atrium_Research_-Sponsored-_VGCX-CN_Mining_Monthly-_June_Edition-_Mining_Monthly-_June_Editi.pdf,equity_research,Uploaded,57,0.147,0.334,17.544,5.263,77.193
20230905_SCP_Resource_Finance_LP_SKE-CN_230905_scp_ske_mre.pdf,equity_research,Uploaded,64,0.117,0.336,15.625,6.25,78.125
20220921_SCP_Resource_Finance_LP_SKE-CN_220921_scp_ske_PFS.pdf,equity_research,Uploaded,63,0.112,0.337,15.873,6.349,77.778
20240626_SP_Angel_Corporate_Finance_LLP_SVM-AU_SP_Angel_Morning_View-_Chinese_lithium_producers_rally_s.pdf,equity_research,Uploaded,74,0.108,0.327,16.216,5.405,78.378
20260213_Skeena_Resources_Ltd-_Company_Presentation_2026-2-13_WC000000003095846937.pdf,other,Uploaded,79,0.084,0.312,12.658,5.063,82.278
20260225_Skeena_Resources_Ltd-_Company_Presentation_2026-2-25_WC000000003096800720.pdf,other,Uploaded,81,0.078,0.31,12.346,4.938,82.716
20260310_Skeena_Resources_Ltd-_Company_Presentation_2026-3-10_WC000000003098354234.pdf,other,Uploaded,83,0.076,0.307,12.048,4.819,83.133
20260113_Skeena_Resources_Ltd-_Company_Presentation_2026-1-13_WC000000003092365140.pdf,other,Uploaded,99,0.06,0.283,10.101,4.04,85.859
20251231_Skeena_Resources_Ltd-_Company_Presentation_2025-12-31_WC000000003090976485.pdf,other,Uploaded,99,0.06,0.283,10.101,4.04,85.859
20251119_Skeena_Resources_Ltd-_Company_Presentation_2025-11-19_WC000000003085798566.pdf,other,Uploaded,99,0.06,0.283,10.101,4.04,85.859
20251008_Skeena_Resources_Ltd-_Company_Presentation_2025-10-08_WC000000003079575661.pdf,other,Uploaded,99,0.06,0.283,10.101,4.04,85.859
20231218_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Initiation_Eskay_Creek_feasibility_l.pdf,equity_research,Uploaded,207,0.004,0.233,5.314,4.348,90.338
20250814_Skeena_Resources_Ltd-_Management-s_Analysis_2025-8-14_SE000000003072525914.pdf,MDA,Uploaded,211,-0.001,0.228,4.739,4.265,90.995
20260324_Skeena_Resources_Ltd-_Management-s_Analysis_2026-3-24_SE000000003100075548.pdf,MDA,Uploaded,210,-0.001,0.228,4.762,4.286,90.952
20251114_Skeena_Resources_Ltd-_Management-s_Analysis_2025-11-14_SE000000003085158364.pdf,MDA,Uploaded,210,-0.001,0.228,4.762,4.286,90.952
20250701_Skeena_Resources_Ltd-_Annual_Report_2025-7-01_WC000000003068248804.pdf,filing,Uploaded,223,-0.001,0.222,4.484,4.036,91.48
20251006_Skeena_Resources_Ltd-_6_K_2025-10-06.pdf,filing,Uploaded,255,-0.003,0.207,3.922,3.529,92.549
20251113_Skeena_Resources_Ltd-_6_K_2025-11-13.pdf,filing,Uploaded,317,-0.006,0.191,3.155,3.155,93.691
20260208_UBS_SKE-CN_Skeena_Resources_Ltd_-Eskay_Creek_Recieves_Full_Permitti.pdf,equity_research,Uploaded,311,-0.006,0.193,3.215,3.215,93.569
20250814_Skeena_Resources_Ltd-_6_K_2025-08-14.pdf,filing,Uploaded,312,-0.007,0.192,3.205,3.205,93.59
